STRIKE_PRC,IMP_VOLT
31.5,0.705171
32.0,0.6899989999999999
32.5,0.699449
33.0,0.68426
33.5,0.66929
34.0,0.654532
34.5,0.6399779999999999
35.0,0.625622
35.5,0.629699
36.0,0.615364
36.5,0.601213
37.0,0.58724
37.5,0.588152
38.0,0.576889
38.5,0.56046
39.0,0.5482205
39.5,0.545552
40.0,0.5353870000000001
40.5,0.526667
41.0,0.5195585
41.5,0.511794
42.0,0.516874
42.5,0.492387
43.0,0.488642
43.5,0.474539
44.0,0.46741
44.5,0.460734
45.0,0.45046299999999995
45.5,0.4409129999999999
46.0,0.433241
46.5,0.425207
47.0,0.42449799999999993
47.5,0.41139899999999996
48.0,0.4043145
48.5,0.394154
49.0,0.38860799999999995
49.5,0.3819334999999999
50.0,0.3781245
50.5,0.366939
51.0,0.36418399999999995
51.5,0.3555824999999999
52.0,0.35058
52.5,0.345005
53.0,0.3414695
53.5,0.3348939999999999
54.0,0.33409900000000003
54.5,0.325602
55.0,0.328166
55.5,0.3221085
56.0,0.31502749999999996
56.5,0.3104705
57.0,0.3109605
57.5,0.3045445
58.0,0.3018885
58.5,0.3022085
59.0,0.300222
59.5,0.2972445
60.0,0.29648850000000004
60.5,0.29212099999999996
61.0,0.2939395
61.5,0.28796249999999995
62.0,0.2961255
62.5,0.288666
63.0,0.28893250000000004
63.5,0.2841765
64.0,0.285543
64.5,0.283846
65.0,0.284304
65.5,0.28464199999999995
66.0,0.28681500000000004
66.5,0.286001
67.0,0.2869565
67.5,0.288676
68.0,0.289962
68.5,0.29156499999999996
69.0,0.293621
69.5,0.2954835
70.0,0.29721
70.5,0.299756
71.0,0.303342
71.5,0.306568
72.0,0.307803
72.5,0.31590799999999997
73.0,0.314927
73.5,0.318472
74.0,0.3201755
74.5,0.323889
75.0,0.3303504999999999
75.5,0.3367295
76.0,0.335214
76.5,0.3403339999999999
77.0,0.343407
77.5,0.3537965
78.0,0.35211349999999997
78.5,0.3560175
79.0,0.359393
79.5,0.36285100000000003
80.0,0.37032750000000003
80.5,0.373091
81.0,0.3754605
81.5,0.3826315
82.0,0.38444949999999994
82.5,0.3914425
83.0,0.3910869999999999
83.5,0.397545
84.0,0.40287949999999995
84.5,0.404467
85.0,0.41351550000000004
85.5,0.416014
86.0,0.416621
86.5,0.42262
87.0,0.4276635
87.5,0.4344659999999999
88.0,0.43328
88.5,0.439017
89.0,0.44356799999999996
89.5,0.450351
90.0,0.4598675
90.5,0.4575675
91.0,0.459049
91.5,0.46217549999999996
92.0,0.467927
92.5,0.46920649999999997
93.0,0.4748475
93.5,0.4766559999999999
94.0,0.481792
94.5,0.48689
95.0,0.491953
95.5,0.486761
96.0,0.491677
96.5,0.496559
97.0,0.501408
97.5,0.506223
98.5,0.515756
99.0,0.520474
99.5,0.513057
100.0,0.5176339999999999
100.5,0.522182
101.0,0.5267000000000001
101.5,0.5311889999999999
102.0,0.535649
102.5,0.540081
103.0,0.544486
103.5,0.5488620000000001
104.0,0.5532119999999999
104.5,0.542728
105.0,0.546939
105.5,0.551125
106.0,0.555286
106.5,0.559422
107.0,0.563534
107.5,0.5676209999999999
108.0,0.571684
108.5,0.575724
109.0,0.5797399999999999
109.5,0.5837330000000001
110.0,0.587703
110.5,0.591651
111.0,0.595576
111.5,0.59948
112.0,0.603361
112.5,0.607221
113.0,0.611059
113.5,0.5954079999999999
114.0,0.599114
114.5,0.6028
115.0,0.606466
115.5,0.610113
116.0,0.6137400000000001
116.5,0.617348
117.0,0.620938
117.5,0.6245080000000001
118.0,0.62806
118.5,0.6315930000000001
119.0,0.635109
119.5,0.638606
120.0,0.642086
120.5,0.645548
121.0,0.6489919999999999
121.5,0.652419
122.0,0.655829
122.5,0.6592220000000001
123.0,0.662599
123.5,0.6659579999999999
124.0,0.669302
124.5,0.672629
125.0,0.67594
