STRIKE_PRC,IMP_VOLT
31.5,0.5213880000000001
32.0,0.516891
32.5,0.512022
33.0,0.501066
33.5,0.495929
34.0,0.490518
34.5,0.484867
35.0,0.486105
35.5,0.472958
36.0,0.471178
36.5,0.460389
37.0,0.4539
37.5,0.4472939999999999
38.0,0.440583
38.5,0.4337749999999999
39.0,0.4341999999999999
39.5,0.426104
40.0,0.422471
40.5,0.414298
41.0,0.41270850000000003
41.5,0.404404
42.0,0.4014779999999999
42.5,0.39833149999999995
43.0,0.392194
43.5,0.38817
44.0,0.386533
44.5,0.379153
45.0,0.378078
45.5,0.372408
46.0,0.37077550000000004
46.5,0.365687
47.0,0.362469
47.5,0.36025050000000003
48.0,0.356172
48.5,0.353044
49.0,0.3507119999999999
49.5,0.3467309999999999
50.0,0.345868
50.5,0.342035
51.0,0.34018800000000005
51.5,0.336472
52.0,0.3335
52.5,0.33194
53.0,0.328947
53.5,0.328102
54.0,0.324174
54.5,0.3222919999999999
55.0,0.3208525
55.5,0.3192815
56.0,0.316798
56.5,0.3149335
57.0,0.3129105
57.5,0.3110845
58.0,0.309085
58.5,0.3075985
59.0,0.30557900000000005
59.5,0.304044
60.0,0.303135
60.5,0.30037
61.0,0.298885
61.5,0.297191
62.0,0.2956115
62.5,0.2941435
63.0,0.292788
63.5,0.291545
64.0,0.290092
64.5,0.2890875
65.0,0.289047
65.5,0.28681049999999997
66.0,0.2858865
66.5,0.285124
67.0,0.2845395
67.5,0.2841545
68.0,0.28326799999999996
68.5,0.2829745
69.0,0.28256899999999996
69.5,0.282835
70.0,0.282648
70.5,0.28239699999999995
71.0,0.2829345
71.5,0.283053
72.0,0.283617
72.5,0.284242
73.0,0.2844675
73.5,0.28574449999999996
74.0,0.286178
74.5,0.2877875
75.0,0.288555
75.5,0.290523
76.0,0.2913335
76.5,0.292265
77.0,0.2946229999999999
77.5,0.295719
78.0,0.298514
78.5,0.300135
79.0,0.301531
79.5,0.304085
80.0,0.303191
80.5,0.3064755
81.0,0.3085835
81.5,0.312708
82.0,0.314451
82.5,0.314956
83.0,0.319094
83.5,0.3220729999999999
84.0,0.321538
84.5,0.325955
85.0,0.3272115
85.5,0.3311699999999999
86.0,0.3312895
87.0,0.338262
87.5,0.340428
88.0,0.342493
88.5,0.3465979999999999
89.0,0.34851
89.5,0.350319
90.0,0.34983600000000004
90.5,0.355944
91.0,0.357491
91.5,0.358928
92.0,0.362723
92.5,0.364001
93.0,0.367721
93.5,0.3688369999999999
94.0,0.372483
94.5,0.3734349999999999
95.0,0.371864
95.5,0.380556
96.0,0.381299
97.0,0.385349
97.5,0.388762
98.5,0.3925039999999999
99.0,0.395827
99.5,0.399127
100.0,0.39926
101.0,0.4057139999999999
101.5,0.408907
102.5,0.41191
103.0,0.415024
104.0,0.417715
104.5,0.420751
105.0,0.423769
106.0,0.426085
106.5,0.4290279999999999
107.0,0.431954
109.0,0.439581
110.0,0.441125
112.0,0.447787
113.0,0.453147
113.5,0.455804
114.0,0.458446
115.0,0.459067
116.0,0.464213
116.5,0.466765
117.0,0.469302
118.0,0.474336
119.5,0.476782
120.0,0.479222
121.5,0.486463
122.0,0.4888519999999999
122.5,0.491228
125.0,0.497465
